area,elevation
2,218.4070068
11,218.5070068
20,218.6070068
43,218.7070068
60,218.8070068
89,218.9070068
103,219.0070068
133,219.1070068
171,219.2070068
214,219.3070068
248,219.4070068
283,219.5070068
307,219.6070068
349,219.7070068
388,219.8070068
432,219.9070068
485,220.0070068
544,220.1070068
685,220.2070068
906,220.3070068
1133,220.4070068
1330,220.5070068
1476,220.6070068
1655,220.7070068
1826,220.8070068
2027,220.9070068
2183,221.0070068
2352,221.1070068
2535,221.2070068
2680,221.3070068
2851,221.4070068
3004,221.5070068
3150,221.6070068
3283,221.7070068
3428,221.8070068
3584,221.9070068
3782,222.0070068
3958,222.1070068
4118,222.2070068
4273,222.3070068
4470,222.4070068
4638,222.5070068
4811,222.6070068
4988,222.7070068
5152,222.8070068
5331,222.9070068
5497,223.0070068
5696,223.1070068
5878,223.2070068
6062,223.3070068
6265,223.4070068
6439,223.5070068
6629,223.6070068
6822,223.7070068
6969,223.8070068
7129,223.9070068
7290,224.0070068
7502,224.1070068
7692,224.2070068
7874,224.3070068
8074,224.4070068
8268,224.5070068
8450,224.6070068
8674,224.7070068
8887,224.8070068
9087,224.9070068
9250,225.0070068
9402,225.1070068
9546,225.2070068
9678,225.3070068
9728,225.4070068
9739,225.5070068
9745,225.6070068
