area,elevation
7,194.4439941
13,194.5439941
30,194.6439941
41,194.7439941
62,194.8439941
91,194.9439941
133,195.0439941
183,195.1439941
242,195.2439941
296,195.3439941
332,195.4439941
376,195.5439941
415,195.6439941
487,195.7439941
558,195.8439941
633,195.9439941
716,196.0439941
852,196.1439941
977,196.2439941
1134,196.3439941
1315,196.4439941
1509,196.5439941
1724,196.6439941
1901,196.7439941
2091,196.8439941
2284,196.9439941
2502,197.0439941
2752,197.1439941
3024,197.2439941
3323,197.3439941
3636,197.4439941
3856,197.5439941
4134,197.6439941
4452,197.7439941
4723,197.8439941
5010,197.9439941
5270,198.0439941
5547,198.1439941
5860,198.2439941
6237,198.3439941
6591,198.4439941
7020,198.5439941
7522,198.6439941
7980,198.7439941
8382,198.8439941
8734,198.9439941
9117,199.0439941
9549,199.1439941
9998,199.2439941
10514,199.3439941
11083,199.4439941
11570,199.5439941
12118,199.6439941
12616,199.7439941
13080,199.8439941
13644,199.9439941
14333,200.0439941
15035,200.1439941
15726,200.2439941
16487,200.3439941
17206,200.4439941
17835,200.5439941
18561,200.6439941
19265,200.7439941
19956,200.8439941
20680,200.9439941
21191,201.0439941
21758,201.1439941
22178,201.2439941
22613,201.3439941
23172,201.4439941
23680,201.5439941
24181,201.6439941
24664,201.7439941
25200,201.8439941
25862,201.9439941
26541,202.0439941
27189,202.1439941
27835,202.2439941
28486,202.3439941
29124,202.4439941
29825,202.5439941
30608,202.6439941
31530,202.7439941
32360,202.8439941
33061,202.9439941
33737,203.0439941
34398,203.1439941
35071,203.2439941
35832,203.3439941
36569,203.4439941
37282,203.5439941
37885,203.6439941
38282,203.7439941
38368,203.8439941
38395,203.9439941
38400,204.0439941
38403,204.1439941
38405,204.2439941
38408,204.3439941
