area,elevation
24,203.0629974
45,203.1629974
71,203.2629974
95,203.3629974
118,203.4629974
150,203.5629974
203,203.6629974
247,203.7629974
296,203.8629974
369,203.9629974
448,204.0629974
604,204.1629974
900,204.2629974
1253,204.3629974
1651,204.4629974
2148,204.5629974
2596,204.6629974
3041,204.7629974
3511,204.8629974
3895,204.9629974
4254,205.0629974
4619,205.1629974
5019,205.2629974
5418,205.3629974
5879,205.4629974
6303,205.5629974
6772,205.6629974
7327,205.7629974
7929,205.8629974
8523,205.9629974
9006,206.0629974
9427,206.1629974
9789,206.2629974
10177,206.3629974
10548,206.4629974
10886,206.5629974
11205,206.6629974
11567,206.7629974
11898,206.8629974
12247,206.9629974
12321,207.0629974
12344,207.1629974
12353,207.2629974
12355,207.3629974
