Time,Slippery,W_02400d,NB_01_FM,NB_06_M,NB_07_FM,Total (NB),Total (W)
3,0.179563791,7.241,0.413,1,0.297,1.889563791,9.130563791
3.001,0.179662869,7.241032,0.41318,1,0.297088,1.889930869,9.130962869
3.002,0.179761947,7.241064,0.41336,1,0.297176,1.890297947,9.131361947
3.003,0.179861025,7.241096,0.41354,1,0.297264,1.890665025,9.131761025
3.004,0.179960103,7.241128,0.41372,1,0.297352,1.891032103,9.132160103
3.005,0.180059181,7.24116,0.4139,1,0.29744,1.891399181,9.132559181
3.006,0.180158259,7.241192,0.41408,1,0.297528,1.891766259,9.132958259
3.007,0.180257337,7.241224,0.41426,1,0.297616,1.892133337,9.133357337
3.008,0.180356415,7.241256,0.41444,1,0.297704,1.892500415,9.133756415
3.009,0.180455493,7.241288,0.41462,1,0.297792,1.892867493,9.134155493
3.01,0.180554571,7.24132,0.4148,1,0.29788,1.893234571,9.134554571
3.011,0.180653649,7.241352,0.41498,1,0.297968,1.893601649,9.134953649
3.012,0.180752727,7.241384,0.41516,1,0.298056,1.893968727,9.135352727
3.013,0.180851805,7.241416,0.41534,1,0.298144,1.894335805,9.135751805
3.014,0.180950883,7.241448,0.41552,1,0.298232,1.894702883,9.136150883
3.015,0.181049961,7.24148,0.4157,1,0.29832,1.895069961,9.136549961
3.016,0.181149039,7.241512,0.41588,1,0.298408,1.895437039,9.136949039
3.017,0.181248117,7.241544,0.41606,1,0.298496,1.895804117,9.137348117
3.018,0.181347195,7.241576,0.41624,1,0.298584,1.896171195,9.137747195
3.019,0.181446273,7.241608,0.41642,1,0.298672,1.896538273,9.138146273
3.02,0.181545351,7.24164,0.4166,1,0.29876,1.896905351,9.138545351
3.021,0.181644429,7.241672,0.41678,1,0.298848,1.897272429,9.138944429
3.022,0.181743507,7.241704,0.41696,1,0.298936,1.897639507,9.139343507
3.023,0.181842585,7.241736,0.41714,1,0.299024,1.898006585,9.139742585
3.024,0.181941663,7.241768,0.41732,1,0.299112,1.898373663,9.140141663
3.025,0.182040741,7.2418,0.4175,1,0.2992,1.898740741,9.140540741
3.026,0.182139819,7.241832,0.41768,1,0.299288,1.899107819,9.140939819
3.027,0.182238897,7.241864,0.41786,1,0.299376,1.899474897,9.141338897
3.028,0.182337975,7.241896,0.41804,1,0.299464,1.899841975,9.141737975
3.029,0.182437053,7.241928,0.41822,1,0.299552,1.900209053,9.142137053
3.03,0.182536131,7.24196,0.4184,1,0.29964,1.900576131,9.142536131
3.031,0.182635209,7.241992,0.41858,1,0.299728,1.900943209,9.142935209
3.032,0.182734287,7.242024,0.41876,1,0.299816,1.901310287,9.143334287
3.033,0.182833365,7.242056,0.41894,1,0.299904,1.901677365,9.143733365
3.034,0.182932443,7.242088,0.41912,1,0.299992,1.902044443,9.144132443
3.035,0.183031521,7.24212,0.4193,1,0.30008,1.902411521,9.144531521
3.036,0.183130599,7.242152,0.41948,1,0.300168,1.902778599,9.144930599
3.037,0.183229677,7.242184,0.41966,1,0.300256,1.903145677,9.145329677
3.038,0.183328755,7.242216,0.41984,1,0.300344,1.903512755,9.145728755
3.039,0.183427833,7.242248,0.42002,1,0.300432,1.903879833,9.146127833
3.04,0.183526911,7.24228,0.4202,1,0.30052,1.904246911,9.146526911
3.041,0.183625989,7.242312,0.42038,1,0.300608,1.904613989,9.146925989
3.042,0.183725067,7.242344,0.42056,1,0.300696,1.904981067,9.147325067
3.043,0.183824145,7.242376,0.42074,1,0.300784,1.905348145,9.147724145
3.044,0.183923223,7.242408,0.42092,1,0.300872,1.905715223,9.148123223
3.045,0.184022301,7.24244,0.4211,1,0.30096,1.906082301,9.148522301
3.046,0.184121379,7.242472,0.42128,1,0.301048,1.906449379,9.148921379
3.047,0.184220457,7.242504,0.42146,1,0.301136,1.906816457,9.149320457
3.048,0.184319535,7.242536,0.42164,1,0.301224,1.907183535,9.149719535
3.049,0.184418613,7.242568,0.42182,1,0.301312,1.907550613,9.150118613
3.05,0.184517691,7.2426,0.422,1,0.3014,1.907917691,9.150517691
3.051,0.184616769,7.242632,0.42218,1,0.301488,1.908284769,9.150916769
3.052,0.184715847,7.242664,0.42236,1,0.301576,1.908651847,9.151315847
3.053,0.184814925,7.242696,0.42254,1,0.301664,1.909018925,9.151714925
3.054,0.184914003,7.242728,0.42272,1,0.301752,1.909386003,9.152114003
3.055,0.185013081,7.24276,0.4229,1,0.30184,1.909753081,9.152513081
3.056,0.185112159,7.242792,0.42308,1,0.301928,1.910120159,9.152912159
3.057,0.185211237,7.242824,0.42326,1,0.302016,1.910487237,9.153311237
3.058,0.185310315,7.242856,0.42344,1,0.302104,1.910854315,9.153710315
3.059,0.185409393,7.242888,0.42362,1,0.302192,1.911221393,9.154109393
3.06,0.185508471,7.24292,0.4238,1,0.30228,1.911588471,9.154508471
3.061,0.185607549,7.242952,0.42398,1,0.302368,1.911955549,9.154907549
3.062,0.185706627,7.242984,0.42416,1,0.302456,1.912322627,9.155306627
3.063,0.185805705,7.243016,0.42434,1,0.302544,1.912689705,9.155705705
3.064,0.185904783,7.243048,0.42452,1,0.302632,1.913056783,9.156104783
3.065,0.186003861,7.24308,0.4247,1,0.30272,1.913423861,9.156503861
3.066,0.186102939,7.243112,0.42488,1,0.302808,1.913790939,9.156902939
3.067,0.186202017,7.243144,0.42506,1,0.302896,1.914158017,9.157302017
3.068,0.186301095,7.243176,0.42524,1,0.302984,1.914525095,9.157701095
3.069,0.186400173,7.243208,0.42542,1,0.303072,1.914892173,9.158100173
3.07,0.186499251,7.24324,0.4256,1,0.30316,1.915259251,9.158499251
3.071,0.186598329,7.243272,0.42578,1,0.303248,1.915626329,9.158898329
3.072,0.186697407,7.243304,0.42596,1,0.303336,1.915993407,9.159297407
3.073,0.186796485,7.243336,0.42614,1,0.303424,1.916360485,9.159696485
3.074,0.186895563,7.243368,0.42632,1,0.303512,1.916727563,9.160095563
3.075,0.186994641,7.2434,0.4265,1,0.3036,1.917094641,9.160494641
3.076,0.187093719,7.243432,0.42668,1,0.303688,1.917461719,9.160893719
3.077,0.187192797,7.243464,0.42686,1,0.303776,1.917828797,9.161292797
3.078,0.187291875,7.243496,0.42704,1,0.303864,1.918195875,9.161691875
3.079,0.187390953,7.243528,0.42722,1,0.303952,1.918562953,9.162090953
3.08,0.187490031,7.24356,0.4274,1,0.30404,1.918930031,9.162490031
3.081,0.187589109,7.243592,0.42758,1,0.304128,1.919297109,9.162889109
3.082,0.187688187,7.243624,0.42776,1,0.304216,1.919664187,9.163288187
3.083,0.187787265,7.243656,0.42794,1,0.304304,1.920031265,9.163687265
3.084,0.187886343,7.243688,0.42812,1,0.304392,1.920398343,9.164086343
3.085,0.187985421,7.24372,0.4283,1,0.30448,1.920765421,9.164485421
3.086,0.188084499,7.243752,0.42848,1,0.304568,1.921132499,9.164884499
3.087,0.188183577,7.243784,0.42866,1,0.304656,1.921499577,9.165283577
